Experiment,AUC,Sensitivity,Specificity,PPV,NPV,Accuracy
original,0.8727355072463768,0.855072463768116,0.828125,0.8428571428571429,0.8412698412698413,84.21%
original (reduced),0.8255974264705882,0.7205882352941176,0.875,0.8596491228070176,0.7466666666666667,79.55%
2s,0.8335597826086957,0.7971014492753623,0.765625,0.7857142857142857,0.7777777777777778,78.2%
1s,0.8267663043478262,0.8695652173913043,0.6875,0.75,0.8301886792452831,78.2%
500ms,0.8217844202898551,0.8405797101449275,0.75,0.7837837837837838,0.8135593220338984,79.7%
333ms,0.8208786231884058,0.6956521739130435,0.859375,0.8421052631578947,0.7236842105263158,77.44%
150ms,0.8173253676470589,0.7205882352941176,0.828125,0.8166666666666667,0.7361111111111112,77.27%
1s (10 FIs),0.5760569852941176,0.38235294117647056,0.796875,0.6666666666666666,0.5483870967741935,58.33%
150ms (60 FIs),0.7127757352941176,0.8235294117647058,0.515625,0.6436781609195402,0.7333333333333333,67.42%
