Experiment,Sensitivity,Specificity,PPV,NPV,Accuracy,AUC
original,0.8695652173913043,0.8125,0.8333333333333334,0.8524590163934426,84.21%,0.8703577898550725
resnet,0.7647058823529411,0.84375,0.8387096774193549,0.7714285714285715,80.3%,0.8474264705882352
densenet,0.8382352941176471,0.78125,0.8028169014084507,0.819672131147541,81.06%,0.8419117647058822
vgg,0.7352941176470589,0.78125,0.78125,0.7352941176470589,75.76%,0.8106617647058824
inception,0.7941176470588235,0.828125,0.8307692307692308,0.7910447761194029,81.06%,0.8351332720588236
